smiles,homo,lumo,hl
Cc1ccc(S(=O)(=O)N[C@@H](C)c2nnc(SCc3ccc(Cl)cc3)o2)cc1,-6.0193,-2.17874,3.84056
N#CC(=C(c1ccccc1)c1ccccc1)[C@@H](NS(=O)(=O)c1ccccc1)c1ccccc1,-6.04385,-2.98475,3.0591
c1csc(-c2nnc(-c3ccncc3)o2)c1,-5.90324,-3.09055,2.81269
CC/C=C(\F)S(=O)(=O)c1ccc(C)cc1,-6.40474,-2.34752,4.05722
Cc1c([N+](=O)[O-])cc(C(=O)O)cc1[N+](=O)[O-],-7.12176,-4.00974,3.11202
CCS[C@]12C=C[C@H](OC)C[C@@]1(c1ccc3c(c1)OCO3)N(S(=O)(=O)c1ccccc1)CC2,-5.20964,-2.05759,3.15205
CCO[C@@]1(O)[C@@H]2[C@H]3C[C@H]4[C@@H]2C(=O)[C@@]25C=CC=C[C@@]12[C@@H]3[C@@H]45,-4.94406,-2.01502,2.92904
CCOC(=O)[C@]1(C#N)[C@@](C#N)(C(=O)OCC)[C@]1(C#N)C(=O)OCC,-7.17257,-3.0374,4.13517
C=C1[C@@H]2C=CC(=O)[C@H]1C[C@@H](OCc1ccccc1)C2,-5.48912,-2.56594,2.92318
COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cn1,-5.70437,-3.76593,1.93844
C[S@@](=O)c1c(-c2ccccc2)oc2ccc3cc(Br)ccc3c12,-5.39325,-2.62612,2.76713
O=C1N([N+](=O)[O-])CC(O[N+](=O)[O-])CN1[N+](=O)[O-],-7.06628,-3.83263,3.23365
[O]S1([O])N[C@@H]2CCC[C@@H]3[C@H](c4ccccc4)[C@]23CCO1,-6.12315,-1.74428,4.37887
Cc1ccc([C@]2(C)CC(=O)Oc3cc(C)ccc32)c(O)c1,-5.53291,-1.50369,4.02922
CCNC1=C(Cl)C(=O)C(N(CC)CC)=C(Cl)C1=O,-5.08536,-3.65142,1.43394
CC[C@H]1CN(C(=O)C(Cl)Cl)C2(CCCCC2)O1,-6.05021,-1.92918,4.12103
COc1ccc(-c2nnc(-c3ccccc3)[se]2)cc1,-5.31999,-2.75051,2.56948
COc1ccc2c(c1)OC1=CC(=O)C[C@H](O)[C@@]1(OC)O2,-5.36531,-2.53275,2.83256
CC(=O)c1c(O)cc2c(c1C(F)(F)F)CCCCCC2,-5.6302,-1.964,3.6662
Cc1ccc(S(=O)(=O)Nc2c(C)cccc2C)c(C)c1,-5.8148,-2.04151,3.77329
CC(=O)O[C@H]1C[C@H](n2cnc3c2[N]C=N[C]3N)O[C@@H]1CO,-5.32164,-1.50265,3.81899
c1ccc(-c2nnc(COCc3nnc(-c4ccccc4)o3)o2)cc1,-6.13159,-2.6023,3.52929
CO[C@@H]1[C@H](OC)[C@H]2O[C@@H]1[C@@H]1C(=O)CCC(=O)[C@H]21,-5.71258,-2.20945,3.50313
C#C[C@@](C)(Oc1ccc(Br)cc1)[C@@H](CO[Si](C)(C)C(C)(C)C)NS(=O)(=O)c1ccccc1[N+](=O)[O-],-5.99455,-3.68042,2.31413
Br[C@@H]1CC[C@H]2[C@H](Br)CC[C@H]2[C@@H]2CC[C@H]1O2,-5.90961,-1.44803,4.46158
N#C[C@]12Cc3ccccc3[C@H](C1)Sc1ccccc12,-5.32337,-1.88112,3.44225
CC(C)(C)OC(=O)NCC(=O)Nc1cccc(C(=O)O)c1,-5.9442,-2.67489,3.26931
NC(=O)c1ccnc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,-5.81969,-3.41953,2.40016
Nc1ccc(/N=C/c2cc3ccccc3n3nnnc23)cc1,-5.0119,-3.22305,1.78885
CCCCCc1cc2c(c(OS([O])([O])c3ccc(C)cc3)c1)[C@@H]1C=C(C)CC[C@H]1C(C)(C)O2,-5.16276,-2.22135,2.94141
COC(=O)C1=C(C(=O)OC)[C@@H]2Nc3ccccc3C(=O)[C@@H]2O1,-5.24498,-2.8682,2.37678
CN[C@@H]1[C@@H](OC)[C@@H](O)[C@H](N)[C@@H](O)[C@@H]1O,-5.15975,-0.73302,4.42673
C#C[C@@](C)(Oc1ccccc1)[C@@H](CO[Si](C)(C)C(C)(C)C)NS(=O)(=O)c1ccccc1[N+](=O)[O-],-6.19183,-3.63776,2.55407
Nc1ncc(-c2cc(C(F)(F)F)nn2-c2ccccc2)cc1[N+](=O)[O-],-5.97664,-3.7859,2.19074
CNc1nc(-c2ccccc2)c(-c2ccccc2)n1C,-4.38589,-1.66765,2.71824
CO[C@@H]1C[C@](C)([N+](=O)[O-])[C@H](O)[C@@H](C)O1,-6.12139,-2.69769,3.4237
CC1=CC(=C(C#N)C([C]2C=C[CH]C=C2)=C(C#N)C#N)C=C(C)O1,-5.672,-3.65487,2.01713
COC(=O)c1c(O)ccc([N+](=O)[O-])c1-c1ccccc1,-6.17768,-3.22516,2.95252
O=c1cc(-c2ccccc2)sn1/C=C/c1ccccc1,-5.06116,-2.92583,2.13533
Cc1cc(C)c2c(c1)[C@H](C)c1ccccc1S2(=O)=O,-6.19071,-2.15291,4.0378
C/N=C(\c1ccccc1)c1cc(C)ccc1O,-5.04774,-2.19863,2.84911
C#C[C@@](C)(Oc1ccc(C)cc1)[C@H](NS(=O)(=O)c1ccccc1[N+](=O)[O-])C(=O)OCc1ccccc1,-5.80012,-3.67664,2.12348
Oc1ccccc1/C(=N/Cc1ccccc1)c1ccccc1,-5.27795,-2.33934,2.93861
CCOC(=O)c1sc(C(=O)OCC)c2ccccc12,-5.52279,-3.35536,2.16743
CC1=C(C)C[C@H]2C(=C(C#N)C#N)CCC(=O)[C@H]2C1,-5.83666,-3.46104,2.37562
Nc1ccc(Nc2ccccc2)c2c1C(=O)c1ccccc1C2=O,-4.69427,-3.4224,1.27187
C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-6.24004,-2.52626,3.71378
COP(=O)(OC)[C@@H](c1ccc([N+](=O)[O-])cc1)C(C)(C#N)C#N,-6.97657,-3.77162,3.20495
COC(=O)[C@]12CC[C@]3(C)C(=O)[C@H]1[C@@H](C[C@@H]3C)OC2=O,-5.81466,-2.21456,3.6001
C[C@]12COCO[C@@]1(C)Oc1cc3oc(=O)ccc3cc12,-5.54659,-2.70413,2.84246
C/C(O)=C(\C#N)C(=O)Nc1ccc(S(C)(=O)=O)cc1,-6.3015,-3.03787,3.26363
CS(=O)(=O)[C@H](Sc1ccccc1)C(=O)c1ccccc1,-5.75672,-3.12749,2.62923
C#C[C@@](C)(Cl)[C@H](NS(=O)(=O)c1ccccc1[N+](=O)[O-])C(=O)NCC(=O)OC(C)(C)C,-6.32151,-3.51486,2.80665
CC1=C(C#Cc2ccc(C)cc2)C(=O)OC(C)(C)O1,-5.06911,-2.37659,2.69252
COC(=O)[C@]1(OC)C(=O)[C@H]2CC=C[C@H]21,-5.39486,-2.25392,3.14094
C[C@H](c1ccccc1)[C@@H](C#N)N[S@@](=O)C(C)(C)C,-5.7399,-1.51125,4.22865
O=C1CS[C@H](c2cc3ccccc3nc2Cl)N1c1ccccc1,-5.68938,-2.88874,2.80064
CSc1c(-c2ccc(F)cc2)oc2ccc(-c3ccccc3)cc12,-5.25854,-2.44338,2.81516
CC(C)n1c(=O)n(Cc2ccccc2Br)c2ccccc21,-5.1158,-1.584,3.5318
CC(=O)c1sc(N(C)c2ccccc2)nc1C,-5.01298,-2.3155,2.69748
CC(=O)c1sc(N(C)c2ccccc2)nc1-c1ccccc1,-5.04993,-2.5238,2.52613
CN(C)c1nc(-c2ccc(Br)cc2)c(C(=O)C(F)(F)F)s1,-5.49873,-3.08719,2.41154
CC(C)(c1ccc(Oc2cnccn2)cc1)c1cccc(C(C)(C)c2ccc(Oc3cnccn3)cc2)c1,-5.69341,-2.42449,3.26892
Cc1ccccc1/C=C1\SC(=S)N(c2ccccc2)C1=O,-5.45601,-3.39714,2.05887
CC(C)=NNC(=O)CNc1ccccc1C,-4.44323,-1.8677,2.57553
CC(C)OP(=O)(NC(=O)c1ccc(Br)cc1)OC(C)C,-6.18832,-2.63939,3.54893
CCOC(=O)N/N=C/c1cccc(OCC)c1O,-4.90989,-2.26453,2.64536
O=C(NC(=O)c1c(F)cccc1F)Nc1nnc(-c2ccc(Cl)cc2Cl)s1,-5.65494,-3.10662,2.54832
C=C(C#N)Cn1c(=S)n(CC(=C)C#N)c2ccccc21,-5.26851,-2.87435,2.39416
Cc1cccc(/C=N/c2ccccc2C(F)(F)F)c1O,-5.49715,-2.91425,2.5829
N#C/C(=C\C=C\c1ccccc1)c1ccccc1,-5.41293,-3.27661,2.13632
CC/C(C)=N/NC(=O)c1cc(OC)ccc1Br,-5.35296,-1.7327,3.62026
CCOP(=O)(/C=c1/[nH]c(=O)/c(=C/C(=O)OC)s1)OCC,-5.78881,-3.33493,2.45388
C[S](C)[N]c1cccc([N+](=O)[O-])c1,-4.96662,-3.05286,1.91376
Cc1ccc(-c2cc(Br)c(-c3ccc(C)cc3)s2)cc1,-5.09136,-2.25961,2.83175
CC(C)(C)[S@](=O)N1CCC[C@H]1c1ccc(Br)cc1,-5.27712,-1.6545,3.62262
COc1cc(SC)ccc1[C]1N=C2N=C[CH]C=C2N1,-5.01953,-2.26526,2.75427
CC(=O)O/N=C1\CCCC(c2ccccc2)=C1OC(C)=O,-5.59691,-2.52027,3.07664
CCOC(=O)C(O)(O)c1nc2ccccc2[nH]c1=O,-6.13197,-3.26854,2.86343
c1ccc2c(c1)ccc1sc3c(sc4ccc5ccccc5c43)c12,-5.04779,-2.52774,2.52005
O=C1CCCC(O)=C1CC1=C(O)CCCC1=O,-5.49956,-2.35032,3.14924
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@H]4C[C@@H]3[C@H]3[C@@H]4[C@@]4(Cl)C(Cl)=C(Cl)[C@]3(Cl)C4(Cl)Cl)[C@@]1(Cl)C2(Cl)Cl,-6.33848,-2.3684,3.97008
CCOC(=O)/N=C(\C(=O)OC)[C@@](Cl)(C(=O)OC)c1sc(Cl)c(Cl)c1Cl,-5.96966,-3.33701,2.63265
CC1=CS[C@](O)(c2ccc(Cl)cc2)c2noc(=O)n21,-5.68508,-2.41976,3.26532
CC/C(=N/S(=O)(=O)c1ccccc1)OC,-6.39529,-1.93864,4.45665
CC(C)(OC(=O)c1ccc([N+](=O)[O-])cc1)c1c(F)c(F)c(F)c(F)c1F,-6.53078,-3.90948,2.6213
O=[N+]([O-])[C@@H]1[C@@H](C(Cl)(Cl)Cl)ON2O[C@H]3OCC[C@H]3[C@@H](C(Cl)(Cl)Cl)[C@H]12,-6.32719,-3.59137,2.73582
Cc1cc2oc3ccccc3c(=O)c2cc1C(=O)c1ccccc1O,-5.76728,-3.03944,2.72784
C[C@H]1NC(C)(C)CO[P@@]1(=O)c1cccc(Cl)c1,-5.61216,-2.05336,3.5588
C[C@H]1NC(C)(C)CO[P@]1(=O)c1ccccc1,-5.31178,-1.89617,3.41561
FC1=C(F)C(F)=C(F)C2(C(F)=C1F)c1ccccc1-c1ccccc12,-5.833,-2.9163,2.9167
C[Si](C)(C)[N]S[N]Sc1cc(F)c(F)c(F)c1F,-5.5115,-3.3128,2.1987
Cc1nc(-c2ccccc2)c[n+]([O-])c1Cl,-5.97593,-2.79756,3.17837
O=C1c2ccccc2[C@]2(O)[C@@H](c3ccccc3)c3ccccc3N12,-5.45549,-2.48163,2.97386
CC(C)(CC(=O)O)c1ccc(C(C)(C)CC(=O)O)cc1,-6.01807,-1.61659,4.40148
C1CSCCCSCCCSC1,-4.93165,-0.66928,4.26237
COc1ccc(C(=O)c2cc3ccccc3o2)cc1,-5.63249,-2.83503,2.79746
COc1ccc(C(=O)c2coc3ccccc23)cc1,-5.58415,-2.52625,3.0579
COC(=O)[C@@H]1[C@H](c2ccccc2)CCCS1(=O)=O,-6.3737,-1.76746,4.60624
CC(C)N(C(=O)O[Si](C)(C)C)C(C)C,-5.56225,-0.49857,5.06368
CCOC(=O)[C@H]1[C@H](c2ccccc2)CCS1(=O)=O,-6.38282,-1.71022,4.6726
CN(C)[C]1[N][C@]2(O)c3ccccc3C(=O)N2C1(C)C,-5.58605,-2.02327,3.56278
CC(C)(C)OC(=O)N1[N]N([O])c2ccccc21,-5.51672,-2.77089,2.74583
CCn1c(Cn2cncn2)n[nH]c1=O,-5.6154,-1.53354,4.08186
CO/N=C(\C(=O)N1[N]N([O])[C@@H]2C=CCC=C21)c1csc(N)n1,-5.1167,-2.89157,2.22513
CN1[C@@H]2C[C@@](C)(S(=O)(=O)c3ccccc3)[C@H]1CCC21OCCO1,-4.63176,-2.09091,2.54085
[O]S([O])(Oc1c(-c2ccccc2)c(=O)n2c3c(cccc13)CCC2)c1ccccc1,-5.36598,-2.6607,2.70528
CC(=O)O[C@H]1C(C)(C)[C@H]2CC=C(C)[C@@]12O,-5.91456,-1.0166,4.89796
Cc1ccc([C@]2(P(=O)(Cl)Cl)CC(C(C)(C)C)=C2Cl)cc1,-6.05591,-2.15496,3.90095
O=[N+]([O-])c1ccc(/C(C/C(=N\O)c2ccccc2O)=N/O)cc1,-5.56124,-3.56102,2.00022
S=C1SCc2ccc3ccccc3c2-c2c1ccc1ccccc21,-5.14043,-3.07095,2.06948
