PN_nN,PN_nP,PN_ATS8dv,PN_ATS6Z,PN_ATS7Z,PN_ATS8Z,PN_ATS6m,PN_ATS7m,PN_ATS8m,PN_ATS8v,PN_ATSC1c,PN_ATSC2c,PN_ATSC3c,PN_ATSC8c,PN_ATSC8dv,PN_ATSC1se,PN_ATSC8se,PN_ATSC1pe,PN_ATSC8pe,PN_ATSC1are,PN_ATSC8are,PN_ATSC1p,PN_ATSC1i,PN_AATSC8c,PN_MATS2c,PN_GATS5p,PN_GATS6p,PN_nBondsT,PN_C1SP1,PN_Xp-5dv,PN_Xp-6dv,PN_Xp-7dv,PN_NtsC,PN_NtN,PN_NdsN,PN_NssO,PN_NdsssP,PN_StsC,PN_SaaaC,PN_StN,PN_SdsN,PN_SssO,PN_SdsssP,PN_nHBAcc,PN_ZMIC5,PN_PEOE_VSA1,PN_SMR_VSA2,PN_SMR_VSA4,PN_SlogP_VSA4,PN_EState_VSA2,PN_EState_VSA5,PN_EState_VSA9,PN_VSA_EState3,PN_VSA_EState9,PN_MDEO-22,PN_MDEN-11,PN_n6ARing,PN_n6AHRing,PN_n10FRing,PN_n10FaRing,PN_TopoPSA(NO),PN_TopoPSA,PN_GGI8,PN_GGI10,ini_AATS6v,ini_AATS1se,ini_AATS1pe,ini_AATS1are,ini_AATS6p,ini_AATS0i,ini_AATS1i,ini_AATS2i,ini_AATS3i,ini_AATS5i,ini_AATS6i,ini_ATSC2c,ini_AATSC0c,ini_AATSC1c,ini_AATSC2c,ini_AATSC3c,ini_AATSC4c,ini_AATSC6dv,ini_AATSC4d,ini_AATSC4v,ini_AATSC1se,ini_AATSC3se,ini_AATSC1pe,ini_AATSC2pe,ini_AATSC3pe,ini_AATSC1are,ini_AATSC2are,ini_AATSC3are,ini_AATSC1i,ini_AATSC2i,ini_MATS1c,ini_MATS2c,ini_MATS4d,ini_MATS4v,ini_MATS6v,ini_MATS3se,ini_MATS1pe,ini_MATS2pe,ini_MATS1are,ini_MATS2are,ini_MATS4p,ini_MATS1i,ini_MATS2i,ini_MATS3i,ini_GATS4d,ini_GATS5Z,ini_GATS5m,ini_GATS4v,ini_GATS6v,ini_GATS4p,ini_GATS1i,ini_BCUTZ-1l,ini_BCUTm-1l,ini_BCUTse-1l,ini_BCUTpe-1l,ini_BCUTare-1l,ini_Mi,ini_NaaN,ini_SaaN,ini_GhoseFilter,ini_AMID_N,ini_piPC7,ini_naHRing,ini_n6aHRing,doi,PN_name,PN_smile,ratio(/PN),PN_tm,initiator_name,tp,dsc_rate,mol_weight,ini_smiles,PN_pre_homo,PN_pre_lumo,PN_pre_hl,ini_pre_homo,ini_pre_lumo,ini_pre_hl,pre
4,0,1584.0,6178,5224,4724,23826.20742,19874.45308,18084.70355,47088.5443,-0.583996714,-0.320344718,-0.000714291,0.03829624,-138.3909465,-0.281011447,-0.141698255,-0.15142692,-1.327934156,-0.281565432,-1.158607407,-0.140562103,0.528196288,0.00019946,-0.092835966,1.070394239,1.023955464,4,4,5.155826727,2.944299811,1.711856542,4,4,0,4,0,7.743897556,0.0,36.98858319,0.0,22.07203616,0.0,8,65.51362086,18.94745182,21.04756622,0.0,91.8622182,33.75282963,72.79640482,18.94745182,36.98858319,0.0,0.41285096,0.300031261,0,0,0,0,132.08,132.08,1.323759133,0.965615753,214.6230188,7.797438714,6.588607143,6.42975,1.554433721,157.7241232,144.2829541,144.2473592,152.7863313,158.8671411,153.4679037,0.11433493,0.021862207,-0.010481215,0.00272226,-0.001864785,-0.005062069,0.027591613,-0.011132215,-0.493312621,-0.006957746,-0.014083152,-0.010265324,0.003229385,-0.02185096,-0.012242588,0.002135234,-0.02357572,0.209484854,-0.248741922,-0.47942162,0.124519002,-0.019793621,-0.010781308,-0.021904808,-0.235848387,-0.106939324,0.033642212,-0.118702305,0.020702912,-0.017844526,0.122863421,-0.145887796,-0.130118721,0.905487805,0.855363344,0.859772273,1.008061421,1.04312028,1.011661025,0.840015594,5.684743097,11.69790987,2.425814103,2.230452569,2.181545187,1.109274232,0,0.0,True,0.290974905,5.894316742,0,0,10.1039/c9sm02328c,"4,4'-((((((perfluoro-[1,1'-biphenyl]-4,4'-diyl)bis(oxy))bis(4,1-phenylene))bis(propane-2,2-diyl))bis(4,1-phenylene))bis(oxy))diphthalonitrile",CC(C)(c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1)c1ccc(Oc2c(F)c(F)c(-c3c(F)c(F)c(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C#N)c(C#N)c6)cc5)cc4)c(F)c3F)c(F)c2F)cc1,11,,4APN,262.0,10.0,1002.245231,N#Cc1ccc(Oc2ccc(N)cc2)cc1C#N,-6.307733,-3.3994842,2.886387,-5.6183085,-3.0220132,2.5723324,260.4991078924435
4,0,916.0,3858,3540,3528,13852.48186,12758.09578,13016.99516,40762.18524,-0.576795198,0.190220076,-0.252550973,-0.002041918,-159.6151603,0.015976646,-1.448838461,0.320434902,-2.251176676,0.225356768,-2.423993003,-0.351816893,-2.968596639,-1.12e-05,0.08147542,1.058446173,1.01456153,4,4,4.344867868,2.458333448,1.460947319,4,4,0,4,0,8.111845846,0.0,37.07054629,0.0,24.40828821,0.0,8,58.65815851,18.94745182,21.04756622,0.0,45.32445147,21.95688392,0.0,18.94745182,37.07054629,0.0,0.540003655,0.327975698,0,0,0,0,132.08,132.08,0.797682036,0.519742883,197.6383874,7.842527259,6.556896296,6.382333333,1.490295274,157.1182875,143.3288835,144.7968192,152.300181,153.7488469,152.8854227,0.165237913,0.022269787,-0.011446249,0.001921371,-0.001527235,0.00333306,0.588491606,-0.024373915,0.689034538,-0.000510643,-0.015500426,-0.008209278,0.014628724,-0.017593623,-0.013501166,0.014893767,-0.019095175,0.230784608,-0.25584649,-0.513981072,0.086277029,-0.038656434,0.013653808,-0.079584263,-0.189840388,-0.069968743,0.124682506,-0.106972262,0.1180061,0.007181173,0.149302427,-0.165515813,-0.12163623,1.099137931,0.922645115,0.940875874,0.953768137,1.090800135,1.034197215,0.924914799,5.698390475,11.71057449,2.437073338,2.234506121,2.17671481,1.107685582,0,0.0,True,0.11374624,6.629363253,0,0,10.1016/j.polymer.2015.04.071,"4,4'-(((((1,3-phenylenebis(oxy))bis(4,1-phenylene))bis(propane-2,2-diyl))bis(4,1-phenylene))bis(oxy))diphthalonitrile",CC(C)(c1ccc(Oc2cccc(Oc3ccc(C(C)(C)c4ccc(Oc5ccc(C#N)c(C#N)c5)cc4)cc3)c2)cc1)c1ccc(Oc2ccc(C#N)c(C#N)c2)cc1,6,,m_BAPS,275.0,10.0,782.2893057,Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,-6.1034575,-3.1798213,2.9038098,-5.108073,-2.0812035,3.0253081,278.0696790758132
4,0,569.3333333,2110,2048,2148,7864.083824,7717.018124,8120.959389,18946.21826,-0.380878221,0.067019351,0.040257471,0.143358537,-19.0683925,0.230075924,-1.397600168,0.030053979,-1.035461553,-0.187379931,-1.307109419,-1.026300855,-2.984368048,0.001814665,0.044609869,0.955647414,0.950427288,4,4,3.083051902,1.816249517,1.121965353,4,4,0,2,0,7.716723087,0.0,36.35166442,0.0,11.37456235,0.0,8,46.12181708,9.473725908,21.04756622,0.0,45.32445147,32.04477292,72.79640482,30.52129213,36.35166442,-3.826882757,0.1,0.461154062,0,0,0,0,147.76,156.14,0.411186697,0.305274972,201.1007549,7.7983312,6.542725,6.39665,1.469922531,158.7990405,146.2755867,146.3634467,155.928483,153.7524654,152.4607504,0.224902477,0.025382411,-0.013391037,0.003627459,-0.003882736,-0.00031702,-0.384274451,0.010387812,1.653843999,-0.007485744,-0.016593479,-0.009882825,0.006981691,-0.026700747,-0.012330374,0.005290653,-0.028215074,0.277160133,-0.388955516,-0.527571512,0.142912321,0.01953125,0.03277798,-0.098264914,-0.259681697,-0.09851334,0.069594436,-0.116634569,0.050044959,0.076235568,0.182596983,-0.256249349,-0.10379564,0.963541667,0.811367927,0.816116799,0.938672198,1.079933519,0.901357632,0.904291803,5.698048386,11.71039426,2.441501551,2.24553696,2.196019038,1.113751732,0,0.0,True,0.160057436,5.963900629,0,0,10.1177/0954008314532479,"4,4'-((sulfonylbis(4,1-phenylene))bis(oxy))diphthalonitrile",N#Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C#N)c(C#N)c4)cc3)cc2)cc1C#N,3,,a_APB,259.5,10.0,502.0735759,Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,-6.8497133,-3.5838556,3.2399912,-4.729953,-1.3379734,3.3912506,261.7239047204794
6,0,1384.0,5256,4888,4500,19401.91215,17982.92404,16744.55574,51179.98355,-0.797117377,0.042949685,-0.579086376,-0.879594465,-176.1274238,-0.11921764,-3.43318041,0.215281994,-5.847653186,0.073950416,-6.178221607,-0.657658964,-5.001685565,-0.004072197,0.012682634,1.041502395,1.147952639,6,6,5.552090611,2.938183456,1.801701905,6,6,0,6,0,12.49710019,0.0,57.5352322,0.0,36.61196835,0.0,12,69.42116493,28.42117772,31.57134933,0.0,67.98667721,33.38070895,12.13273414,28.42117772,57.5352322,0.0,1.135784479,0.660802825,0,0,0,0,198.12,198.12,0.993197279,0.601571268,228.7469914,7.832362341,6.593987805,6.446121951,1.614336931,158.6533412,146.057405,145.802153,154.6830683,153.4722803,150.4247147,0.113252636,0.026502205,-0.01279154,0.001797661,-0.00463105,0.002205344,-0.759162205,0.024424721,2.832921322,-0.008625704,-0.014492978,-0.011925498,0.005761717,-0.019244162,-0.01454834,0.003862296,-0.022064195,0.273143095,-0.336017151,-0.482659451,0.067830615,0.043501171,0.058296041,-0.131880163,-0.218381227,-0.115138461,0.055628302,-0.131683705,0.034959416,0.10471108,0.171343448,-0.210784524,-0.129551585,0.932757611,0.769316532,0.771729011,0.904725219,1.070511208,0.877014164,0.879759838,5.691360955,11.7041764,2.433223484,2.237555251,2.188433416,1.112965622,0,0.0,True,0.219694683,6.235635466,0,0,10.1002/app.32783,"4,4'-((((([1,1'-biphenyl]-4,4'-diylbis(oxy))bis(2-cyano-3,1-phenylene))bis(oxy))bis([1,1'-biphenyl]-4',4-diyl))bis(oxy))diphthalonitrile",N#Cc1ccc(Oc2ccc(-c3ccc(Oc4cccc(Oc5ccc(-c6ccc(Oc7cccc(Oc8ccc(-c9ccc(Oc%10ccc(C#N)c(C#N)c%10)cc9)cc8)c7C#N)cc6)cc5)c4C#N)cc3)cc2)cc1C#N,2,,BDB,271.0,20.0,1008.269633,N#Cc1c(Oc2ccc(N)cc2)cccc1Oc1ccc(N)cc1,-6.145846,-3.5145,2.6348825,-5.018424,-2.1082747,2.9083004,274.7509880748487
5,0,618.0,2395,2320,2181,8809.119613,8527.94574,7975.354799,25632.75337,-0.356108428,0.118371135,-0.114907319,0.351879866,-10.82840237,-0.027991191,0.907337179,0.118176,1.11054,0.059321302,1.377423669,-0.287054043,-3.962988927,0.002932332,0.082308415,1.015701367,0.994424893,4,4,2.751626967,1.395033819,0.821942968,4,4,0,2,0,8.000528922,0.0,36.58661446,0.0,11.66971306,0.0,7,38.99732341,9.473725908,21.04756622,0.0,45.32445147,11.12690298,0.0,19.99750902,36.58661446,0.0,0.0625,0.389958236,0,0,0,0,126.51,126.51,0.253464349,0.18141006,214.6230188,7.797438714,6.588607143,6.42975,1.554433721,157.7241232,144.2829541,144.2473592,152.7863313,158.8671411,153.4679037,0.11433493,0.021862207,-0.010481215,0.00272226,-0.001864785,-0.005062069,0.027591613,-0.011132215,-0.493312621,-0.006957746,-0.014083152,-0.010265324,0.003229385,-0.02185096,-0.012242588,0.002135234,-0.02357572,0.209484854,-0.248741922,-0.47942162,0.124519002,-0.019793621,-0.010781308,-0.021904808,-0.235848387,-0.106939324,0.033642212,-0.118702305,0.020702912,-0.017844526,0.122863421,-0.145887796,-0.130118721,0.905487805,0.855363344,0.859772273,1.008061421,1.04312028,1.011661025,0.840015594,5.684743097,11.69790987,2.425814103,2.230452569,2.181545187,1.109274232,0,0.0,True,0.290974905,5.894316742,0,0,10.1039/c7py01990d,"4,4'-((((1E,1'E)-pyridine-2,6-diylbis(ethene-2,1-diyl))bis(4,1-phenylene))bis(oxy))diphthalonitrile",N#Cc1ccc(Oc2ccc(/C=C/c3cccc(/C=C/c4ccc(Oc5ccc(C#N)c(C#N)c5)cc4)n3)cc2)cc1C#N,10,92.0,4APN,226.0,5.0,567.1695249,N#Cc1ccc(Oc2ccc(N)cc2)cc1C#N,-5.985912,-3.6984296,2.29873,-5.6183085,-3.0220132,2.5723324,230.3058647868223
4,0,1241.333333,4502,4288,4620,16634.78388,16023.59779,17483.54935,41169.14082,-0.780044444,0.091772023,0.239990299,0.210575953,9.434402332,0.502402003,-2.907801805,0.124897741,-1.530307507,-0.316827988,-2.267034402,-1.728574828,-5.030093868,0.001203291,0.030774169,0.943767219,0.965583598,4,4,6.27652801,3.744865448,2.37328212,4,4,0,4,0,7.761334557,0.0,36.80715615,0.0,23.3408879,0.0,13,66.73528592,18.94745182,21.04756622,0.0,45.32445147,47.61898482,121.3273414,29.47123492,36.80715615,-7.785821109,0.396540646,0.295131172,0,0,0,0,217.43,234.19,0.905013857,0.478114478,197.6383874,7.842527259,6.556896296,6.382333333,1.490295274,157.1182875,143.3288835,144.7968192,152.300181,153.7488469,152.8854227,0.165237913,0.022269787,-0.011446249,0.001921371,-0.001527235,0.00333306,0.588491606,-0.024373915,0.689034538,-0.000510643,-0.015500426,-0.008209278,0.014628724,-0.017593623,-0.013501166,0.014893767,-0.019095175,0.230784608,-0.25584649,-0.513981072,0.086277029,-0.038656434,0.013653808,-0.079584263,-0.189840388,-0.069968743,0.124682506,-0.106972262,0.1180061,0.007181173,0.149302427,-0.165515813,-0.12163623,1.099137931,0.922645115,0.940875874,0.953768137,1.090800135,1.034197215,0.924914799,5.698390475,11.71057449,2.437073338,2.234506121,2.17671481,1.107685582,0,0.0,True,0.11374624,6.629363253,0,0,10.1002/pola.28020,"4,4'-(((((carbonylbis(4,1-phenylene))bis(oxy))bis(4,1-phenylenesulfonyl))bis(4,1-phenylene))bis(oxy))diphthalonitrile",N#Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C(=O)c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C#N)c(C#N)c8)cc7)cc6)cc5)cc4)cc3)cc2)cc1C#N,5,,m_BAPS,235.0,10.0,802.0,Nc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N)c4)cc3)cc2)c1,-6.7238116,-3.6435595,3.068551,-5.108073,-2.0812035,3.0253081,239.63068995455328
6,0,828.0,2616,2512,2404,9838.775753,9348.812742,9062.693956,23827.50779,-0.701423132,0.403467932,-0.889329539,0.538585592,-14.4351962,-0.283354102,0.799316652,-0.069485137,0.729303686,-0.224024019,0.886858264,-1.198472629,-13.06010041,0.005178708,0.176977588,0.976957446,1.14922771,4,4,2.353505547,1.155878224,0.650498699,4,4,0,4,0,7.897869702,0.0,36.707075,0.0,23.43844288,0.0,10,36.46393724,18.94745182,21.04756622,0.0,45.32445147,34.01378264,36.65915542,29.47123492,36.707075,0.0,0.991351614,0.433989927,0,0,0,0,157.86,157.86,0.336104812,0.222426283,214.6230188,7.797438714,6.588607143,6.42975,1.554433721,157.7241232,144.2829541,144.2473592,152.7863313,158.8671411,153.4679037,0.11433493,0.021862207,-0.010481215,0.00272226,-0.001864785,-0.005062069,0.027591613,-0.011132215,-0.493312621,-0.006957746,-0.014083152,-0.010265324,0.003229385,-0.02185096,-0.012242588,0.002135234,-0.02357572,0.209484854,-0.248741922,-0.47942162,0.124519002,-0.019793621,-0.010781308,-0.021904808,-0.235848387,-0.106939324,0.033642212,-0.118702305,0.020702912,-0.017844526,0.122863421,-0.145887796,-0.130118721,0.905487805,0.855363344,0.859772273,1.008061421,1.04312028,1.011661025,0.840015594,5.684743097,11.69790987,2.425814103,2.230452569,2.181545187,1.109274232,0,0.0,True,0.290974905,5.894316742,0,0,10.1002/pat.4773,"4,4'-(((pyrimidine-4,6-diylbis(oxy))bis(3,1-phenylene))bis(oxy))diphthalonitrile",N#Cc1ccc(Oc2cccc(Oc3cc(Oc4cccc(Oc5ccc(C#N)c(C#N)c5)c4)ncn3)c2)cc1C#N,10,159.0,4APN,255.0,5.0,548.123303,N#Cc1ccc(Oc2ccc(N)cc2)cc1C#N,-6.4405403,-3.3468595,3.0739188,-5.6183085,-3.0220132,2.5723324,249.24134006564046
9,0,1890.0,6357,6096,6150,23409.42334,22555.34142,22950.7306,69127.78761,-1.073210046,0.422278717,-0.041628898,-0.207597405,-49.66500679,-0.11890919,-0.247323466,0.311516523,-0.35015541,0.132983929,-0.31513445,-0.864147228,-11.92913963,-0.000698981,0.111617714,1.033603862,1.086110333,6,6,7.024994794,3.768867867,2.389289465,6,6,0,6,0,12.15875164,0.0,56.10153851,0.0,36.83812293,0.0,15,91.30174827,28.42117772,31.57134933,0.0,67.98667721,16.69035448,0.0,43.37311329,56.10153851,0.0,0.881240684,0.557342112,0,0,0,0,236.79,236.79,1.008314437,0.927762473,196.1290298,7.864456267,6.535813333,6.354866667,1.495893668,160.0433311,145.9957913,145.8478765,151.3652754,160.2482792,154.9086131,0.081461697,0.021076356,-0.012175719,0.001697119,0.000487047,-0.00144687,0.70187955,0.03067077,-2.794232412,0.000622996,-0.007455436,-0.017685454,0.022977549,-0.003607775,-0.02553411,0.025218648,-0.003719857,0.478582175,-0.102524391,-0.577695651,0.080522396,0.043278721,-0.054591738,-0.293056239,-0.092412228,-0.147942288,0.192211702,-0.198838376,0.196381822,-0.071248687,0.288748127,-0.061857143,-0.205945391,0.901598895,0.760846046,0.773224452,1.019284667,1.260055872,1.123188988,0.888593882,5.699121802,11.71096464,2.436247543,2.233834058,2.176221392,1.117656343,0,0.0,True,0.206819375,5.752175735,0,0,10.1002/pi.5494,"4,4',4''-(((((1,3,5-triazine-2,4,6-triyl)tris(benzene-4,1-diyl))tris(oxy))tris([1,1'-biphenyl]-4',4-diyl))tris(oxy))triphthalonitrile",N#Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(-c5nc(-c6ccc(Oc7ccc(-c8ccc(Oc9ccc(C#N)c(C#N)c9)cc8)cc7)cc6)nc(-c6ccc(Oc7ccc(-c8ccc(Oc9ccc(C#N)c(C#N)c9)cc8)cc7)cc6)n5)cc4)cc3)cc2)cc1C#N,5,,DDS,281.5,15.0,1239.34928,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-6.215545,-3.7537622,2.4923682,-5.0931935,-1.8334095,3.260698,280.9527073522208
5,0,828.0,3837,3816,3640,14199.12651,14181.51001,13604.8073,33760.66273,-0.566656618,0.108574966,-0.366613789,-0.235151865,-56.85798616,-0.11417088,-2.284774348,0.123142285,-2.788908782,0.036511569,-3.040768442,0.376668607,-1.658956773,-0.001588864,0.046958466,0.965134039,0.989599625,5,5,5.066009538,2.815979603,1.809919266,5,5,0,4,0,10.23854517,0.0,46.92086933,0.0,24.01180059,0.0,11,54.25945611,18.94745182,26.30945777,0.0,56.65556434,16.69035448,0.0,29.47123492,46.92086933,0.0,0.540003655,0.53291449,0,0,0,0,155.87,206.47,0.542202066,0.321803898,185.8332747,7.791137714,6.525357143,6.388071429,1.403512721,161.0546485,148.9671602,147.6423141,157.0715474,158.3192087,155.0599994,0.183771799,0.025909608,-0.014827358,0.004273763,-0.002405151,-0.005286362,-0.931332204,0.001846576,-0.827959006,-0.009698762,-0.013567572,-0.015450304,0.00736488,-0.023986968,-0.017989751,0.005953118,-0.024737449,0.404910414,-0.375291867,-0.572272558,0.164948954,0.003487445,-0.016383302,-0.144455033,-0.242535959,-0.164156043,0.078250215,-0.183232903,0.060634922,0.024684042,0.2603309,-0.241288112,-0.166348627,0.874352332,0.688168162,0.697192653,0.981448684,1.116787267,0.935922154,0.882145398,5.698019503,11.71036364,2.441540789,2.245642554,2.196120726,1.121577795,0,0.0,True,0.234694912,5.264631309,0,0,10.1016/j.mtcomm.2020.101352,"4,4闁?((((((2-cyano-1,3-phenylene) bis(oxy))-bis (4,1-phenylene))bis(sulfanediyl))bis(4,1-phenylene))bis(oxy))diphthalonitrile",N#Cc1ccc(Oc2ccc(Sc3ccc(Oc4cccc(Oc5ccc(Sc6ccc(Oc7ccc(C#N)c(C#N)c7)cc6)cc5)c4C#N)cc3)cc2)cc1C#N,10,,DDE,257.0,15.0,787.1347963,Nc1ccc(Oc2ccc(N)cc2)cc1,-6.089617,-3.4262156,2.6416337,-4.5278435,-1.1530184,3.374435,258.189359377701
7,0,2040.0,7055,6387,6284,26183.02978,23890.37858,23836.64466,65491.88806,-1.426700765,0.779045308,-0.70430295,0.561415419,-23.72621107,-0.316792688,-0.989764375,0.011511073,0.946706228,-0.191751919,-0.034496788,-0.646550119,-16.2378914,0.002048961,0.161443539,1.02288163,1.076018398,4,4,8.169566186,4.880669242,3.226791269,4,4,0,4,0,7.800741347,-0.119683297,37.21598068,0.0,24.01831069,0.0,18,52.47436395,18.94745182,21.04756622,0.0,45.32445147,83.11466762,78.86277189,18.94745182,37.09629738,0.0,0.293705396,0.248696558,0,0,0,0,281.74,281.74,1.527840766,0.875037241,196.1290298,7.864456267,6.535813333,6.354866667,1.495893668,160.0433311,145.9957913,145.8478765,151.3652754,160.2482792,154.9086131,0.081461697,0.021076356,-0.012175719,0.001697119,0.000487047,-0.00144687,0.70187955,0.03067077,-2.794232412,0.000622996,-0.007455436,-0.017685454,0.022977549,-0.003607775,-0.02553411,0.025218648,-0.003719857,0.478582175,-0.102524391,-0.577695651,0.080522396,0.043278721,-0.054591738,-0.293056239,-0.092412228,-0.147942288,0.192211702,-0.198838376,0.196381822,-0.071248687,0.288748127,-0.061857143,-0.205945391,0.901598895,0.760846046,0.773224452,1.019284667,1.260055872,1.123188988,0.888593882,5.699121802,11.71096464,2.436247543,2.233834058,2.176221392,1.117656343,0,0.0,True,0.206819375,5.752175735,0,0,10.1002/masy.200950323,"4-(4-{2-[4-(4-{2-[4-(4-{6-[4-(3,4-dicyanophenoxy)phenyl]-1,3,5,7-tetraoxo-1H,2H,3H,5H,6H,7H-pyrrolo[3,4-f]isoindol-2-yl}phenoxy)phenyl]propan-2-yl}phenoxy)phenyl]-1,3,5,7-tetraoxo-1H,2H,3H,5H,6H,7H-cyclopenta[f]isoindol-6-yl}phenoxy)benzene-1,2-dicarbonitrile",CC(C)(c1ccc(Oc2ccc(N3C(=O)c4cc5c(cc4C3=O)C(=O)C(c3ccc(Oc4ccc(C#N)c(C#N)c4)cc3)C5=O)cc2)cc1)c1ccc(Oc2ccc(-n3c(=O)c4cc5c(=O)n(-c6ccc(Oc7ccc(C#N)c(C#N)c7)cc6)c(=O)c5cc4c3=O)cc2)cc1,5,,DDS,282.0,10.0,3429.0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-6.4965086,-4.596967,1.9194293,-5.0931935,-1.8334095,3.260698,285.553149509473
