smiles,gas,dsrate,loss,td
CCCCCC(=O)O,N2,10,0,312
CCCCCC(=O)O,N2,10,10,335
CCCCCC(=O)O,N2,10,50,420
CCCCCC(=O)O,air,10,0,308
CCOC(=O)/C=C/C(=O)O,N2,10,10,330
O=Cc1ccc(O)cc1,N2,20,0,476
O=Cc1ccc(O)cc1,air,5,10,215
CC(O)CC=O,N2,20,10,234
CC(O)CC=O,air,5,10,350
CC(O)C=O,N2,10,10,286.1
CC(O)C=O,air,20,10,344
O=Cc1cccc(C(=O)Sc2ccc(-c3ccc(S)cc3)cc2)c1,air,10,1,390
O=Cc1ccc(C(=O)Sc2ccc(-c3ccc(S)cc3)cc2)cc1,air,10,5,450
O=Cc1ccc(C(=O)Sc2ccc(-c3ccc(S)cc3)cc2)cc1,air,10,30,500
O=Cc1cccc(O)c1,N2,20,0,405
O=CCc1ccc(O)cc1,N2,20,0,267
COc1cc(/C=N/c2cccc3c(/N=C/c4ccc(OC(=O)c5cccc(C=O)c5)c(OC)c4)cccc23)ccc1O,air,10,5,240
COc1cc(/C=N/c2cccc3c(/N=C/c4ccc(OC(=O)c5ccc(C=O)cc5)c(OC)c4)cccc23)ccc1O,air,10,5,250
COc1cc(/C=N/c2cccc3c(/N=C/c4ccc(OC(=O)CCCCCCCCC=O)c(OC)c4)cccc23)ccc1O,air,10,5,230
COc1cc(/C=N/c2ccc(/N=C/c3ccc(OC(=O)CCCCC=O)c(OC)c3)cc2)ccc1O,air,10,5,190
COc1cc(/C=N/c2ccc(/N=C/c3ccc(OC(=O)c4cccc(C=O)c4)c(OC)c3)cc2)ccc1O,air,10,5,235
COc1cc(/C=N/c2ccc(/N=C/c3ccc(OC(=O)CCCCCCCCC=O)c(OC)c3)cc2)ccc1O,air,10,5,190
CCCCCOC(=O)c1cccc(CCCc2cccc(C(=O)O)c2)c1,air,5,5,398
CCCCOC(=O)c1ccc2cc(C(=O)O)ccc2c1,N2,50,10,435
COc1cc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(OC(=O)CCCCCCCCC=O)c(OC)c4)cc3)cc2)ccc1O,air,10,5,320
COc1cc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc(OC(=O)CCCCC=O)c(OC)c4)cc3)cc2)ccc1O,air,10,5,320
CCCCOC(=O)c1ccc([Si](C)(C)c2ccc(C(=O)O)cc2)cc1,N2,8,10,413
CCCCOC(=O)c1ccc([Si](C)(C)c2ccc(C(=O)O)cc2)cc1,N2,8,30,431
CCCCOC(=O)c1ccc(C(C)(C)c2ccc(C(=O)O)cc2)cc1,N2,8,10,403
CCCCOC(=O)c1ccc(C(C)(C)c2ccc(C(=O)O)cc2)cc1,N2,8,30,424
C[Si](C)(c1ccc(C=O)cc1)c1ccc(C(=O)Oc2ccc(O)cc2)cc1,N2,10,10,533
C[Si](C)(c1ccc(C=O)cc1)c1ccc(C(=O)Oc2ccc(O)cc2)cc1,N2,10,30,571
C[Si](C)(c1ccc(C=O)cc1)c1ccc(C(=O)Oc2ccc(O)cc2)cc1,air,5,10,456
C[Si](C)(c1ccc(C=O)cc1)c1ccc(C(=O)Oc2ccc(O)cc2)cc1,air,5,30,511
CC(C)(c1ccc(C=O)cc1)c1ccc(C(=O)Oc2ccc(O)cc2)cc1,N2,5,10,480
CC(C)(c1ccc(C=O)cc1)c1ccc(C(=O)Oc2ccc(O)cc2)cc1,N2,5,30,510
CC(C)(c1ccc(C=O)cc1)c1ccc(C(=O)Oc2ccc(O)cc2)cc1,air,5,10,417
CC(C)(c1ccc(C=O)cc1)c1ccc(C(=O)Oc2ccc(O)cc2)cc1,air,5,30,458
