smiles,mp
CCCCc1nccc2c([N+](=O)[O-])cccc12,69.25
Nc1cccc2cnc(Cl)cc12,176.5
Cc1cc2c([N+](=O)[O-])cccc2c(Cl)n1,112
CCCCCCCCCCCCC1=CC(=O)C=CC1=S,131.5
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12CO[N+](=O)[O-],149.2
COc1cc2ccccc2cc1C(=O)NNC(=O)c1cc2ccccc2cc1OC,261.8
COc1cc2ccccc2cc1C(=O)NNC(=O)c1ccc2ccccc2c1,195
CCOC1=Cc2ccccc2N(C)c2ccc(Br)cc21,131
CCSc1ccc2c(c1)C(=O)Cc1ccccc1N2C,54.5
N#Cc1cc2c(cc1Br)nc1n2CCC1,224
Clc1ccc2nc3n(c2c1)CCC3,136
O=C(O)c1cccc2nc3n(c12)CCC3,311
O=C(O)c1cc2nc3n(c2cc1Cl)CCC3,270
CC(=O)Nc1ccc2nc3n(c2c1)CCC3,252.5
Cc1cc(=O)n(-c2cccc(Cl)c2)c(=O)[nH]1,251
Cc1cc(=O)n(C2CCCCC2)c(=O)n1C,136
O=C(NCc1cccnc1)C1Oc2ccc(Cl)cc2Cc2cc(Cl)ccc2O1,225.5
COC(=O)C1Oc2ccc(C)cc2Cc2cc(C)ccc2O1,159
CNc1nc(=O)c2cccnc2n1Cc1ccc(F)cc1,244
Clc1ccc2c(NCCCCCCCCCNc3ncnc4cc(Cl)ccc34)ncnc2c1,160.5
COC(=O)c1ccc2c(c1)OCCO2,44
COC(=O)c1cc2c(cc1[N+](=O)[O-])OCCO2,116.5
COC(=O)c1cc2c(cc1N)OCCO2,75
O=c1[nH]cnc2cc3c(cc12)OCCO3,275
Clc1ncnc2cc3c(cc12)OCCO3,171.5
Cc1nc2cc3c(cc2c(=O)[nH]1)OCCO3,275
Cc1nc(Cl)c2cc3c(cc2n1)OCCO3,169
CCOc1cc(O)nc(N(C)C)n1,194.5
CCCOc1cc(O)nc(N(C)C)n1,194.5
CN(C)c1nc(=O)c2cccnc2n1Cc1ccc(F)cc1,168.5
C=CCNc1nc(=O)c2cccnc2n1Cc1ccc(F)cc1,192
CC(=O)c1cccn1Cc1ccco1,42.5
COC(=O)c1c(OC)cc(C=O)cc1OC,113.5
COc1cc(C(=O)O)cc(OC)c1Cc1cnc(N)nc1N,265.5
COc1cc(C(=O)OC(C)C)cc(OC)c1Cc1cnc(N)nc1N,211
CCCCOC(=O)c1cc(OC)c(Cc2cnc(N)nc2N)c(OC)c1,187
CCOC(=O)c1cc(OC)c(Cc2cnc(N)nc2N)c(OC)c1,201.5
CCOC(=O)c1cc(OCC)c(C(=O)OCC)c(OCC)c1,143
CCOC(=O)c1c(OCC)cc(C=O)cc1OCC,118
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1CN,177
COC(=O)c1cc(OC)c(C#N)c(OC)c1,152
COC(=O)c1cc(OC)c(CNC(C)=O)c(OC)c1,184
COC(=O)c1cc(OC)c(CCNC(C)=O)c(OC)c1,234
CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1C(C)=O,230
COCc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,222
COCc1cc(OC)c(C=O)c(OC)c1,74
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1C(C)(C)O,184
COc1cc(Cc2cnc(N)nc2NC(C)=O)cc(OC)c1C(C)(C)O,215
COc1cc(C=O)cc(OC)c1C(C)(C)O,55
COC(=O)c1cc(OC)c(Cc2c(N)nc(N)nc2O)c(OC)c1,225
COC(=O)c1cc(OC)c(Cc2c(N)nc(N)nc2Cl)c(OC)c1,228.5
COC(=O)CCC(=O)c1cccc(O)c1,102.2
C=CCOc1cccc(C(=O)CCC(=O)OC)c1,31.25
C=CCc1ccc(C(=O)CCC(=O)OC)cc1O,91.25
C=CCc1ccc(C2=NNC(=O)CC2)cc1O,176.5
C=CCOc1cccc(C2=NNC(=O)CC2)c1,112
C=CCc1c(O)cccc1C1=NNC(=O)CC1,198.5
C=CCOc1ccc(C2=NNC(=O)CC2)cc1,131.2
C=CCc1cc(C2=NNC(=O)CC2)ccc1O,242
COC(=O)CCC(=O)c1cccc(Cl)c1O,61
COC(=O)CCC(=O)c1ccc(O)c(Cl)c1,87
O=C(O)CCC(=O)c1ccc(O)c(Cl)c1,157.5
Clc1cc(Br)ccc1OCc1ccccc1,59.75
Cc1ccc(C2=NNC(=O)CC2)cc1O,217
Nc1ccc(O)c(C(=O)CCC(=O)O)c1,159
CC(=O)Nc1ccc(O)c(C(=O)CCC(=O)O)c1,205.5
COC(=O)CCC(=O)c1cc(NC(C)=O)ccc1O,146
CCOC(=O)CCC(=O)c1ccc(O)c(O)c1,116.5
O=C(O)CCC(=O)c1ccc(F)c([N+](=O)[O-])c1,136
Brc1ccnc2cc3c(cc12)OCO3,148
Clc1cc(Cl)c2nccc(Br)c2c1,165
CCc1cnccc1C[C@@H](O)C(Cl)(Cl)Cl,133
O=C(NCc1cccnc1)Nc1ccc([N+](=O)[O-])cc1,220.8
O=C(NCc1cccnc1)Nc1ccc(S)cc1,157
N#Cc1ccc(NC(=O)OCc2cccnc2)cc1,206
Cc1csc(NC(=O)OCc2cccnc2)c1,134
CN1CCP(=O)(c2ccccc2)CC1,115.5
CCC(=O)Nc1ccc(OCc2nc(Cl)ccc2Cl)cc1,170
Nc1ccc(SCc2nc(Cl)ccc2Cl)cc1,110.5
Nc1ccccc1OCc1nc(Cl)ccc1Cl,74.5
O=C=Nc1ccc(OCc2nc(Cl)ccc2Cl)cc1,62
CON(C)C(=O)Nc1ccc(OCc2nc(Cl)ccc2Cl)cc1,152.8
CN(C)C(=O)Nc1ccc(SCc2nc(Cl)ccc2Cl)cc1,112.8
CN(C)C(=O)Nc1ccc(O)cc1,178.5
O=c1c2cc(CBr)ccc2oc2ncccc12,211.8
O=Cc1ccc2oc3ncccc3c(=O)c2c1,234
c1ccc2c(c1)Cc1cccnc1O2,87.5
CC1(C)c2ccccc2Oc2ncccc21,72.5
ClCc1ccc2c(c1)Cc1cccnc1O2,173
O=Cc1ccc2c(c1)Cc1cccnc1O2,172
N#Cc1ccc2oc3ncccc3c(=O)c2c1,260
CCOC(=O)C(C(=O)OCC)C(=O)c1ccc2oc3ncccc3c(=O)c2c1,137.8
CC(=O)c1ccc(Oc2ncccc2C(=O)O)cc1,185
CC(=O)c1ccc2oc3ncccc3c(=O)c2c1,195.5
CC(=O)c1ccc2c(c1)Cc1cccnc1O2,143
CC(=O)c1ccc2c(c1)C(C)(C)c1cccnc1O2,107
CC(C)C(=O)c1ccc2oc3ncccc3c(=O)c2c1,155.5
O=C(O)c1ccc2oc3ncccc3c(=O)c2c1,293.5
CCOC(=O)c1ccc2oc3ncccc3c(=O)c2c1,131.5
O=C(O)c1ccc2oc3ccncc3c(=O)c2c1,300
CC1(C)c2cc(C(=O)O)ccc2Oc2ncccc21,241.5
O=C(O)c1ccc2c(c1)Cc1cccnc1O2,285.5
O=C=Nc1ccc(Oc2cccc(Cl)n2)cc1,96.5
CCOc1nc(Cl)nc2cscc12,138
CC(C)Nc1ncnc2cscc12,230
CC(C)Nc1nc(N2CCOCC2)nc2cscc12,202
CCCc1nc(N2CCOCC2)c2cscc2n1,103.5
CCOc1nc(OCC)c2cscc2n1,85
CCCNc1nc(OCC)nc2cscc12,141
CCOc1nc(NC(C)C)c2cscc2n1,155.5
O=C(O)Cc1ccc2c(c1)Cc1cccnc1O2,218
N#CCc1ccc2c(c1)Cc1cccnc1O2,166.5
O=C(O)Cc1ccc2oc3ncccc3c(=O)c2c1,244.5
N#CCc1ccc2oc3ncccc3c(=O)c2c1,199.5
Nc1ccccc1CCc1ccccn1,60
O=CNc1ccccc1CCc1ccccn1,79.5
COc1ccc(N)c(CCc2ccccn2)c1,78
CCc1ccc(CCc2ccccc2NC=O)nc1,62.75
CC(=O)Nc1ccccc1CCc1ccccn1,230.5
COc1ccc(C(=O)Nc2ccccc2C(=O)c2ccccn2)cc1,132.5
CC(C)(C)c1nnc(N=C=O)s1,262
O=C1SC[C@H]2[C@@H]1N(Cc1ccccc1)C(=O)N2Cc1ccccc1,118.5
Clc1ccc(NC2=NCCN2)c(Cl)c1,138.5
CC(=O)N1CCN=C1Nc1c(Br)cccc1Br,183.5
Cc1cccc(C)c1NC1=NCCN1,155.5
